english_title,japanese_title,producer,serial,date,category
Takahashi Meijin no Daibouken Shima,高橋名人の大冒険島,ハドソン / Hudson,SHVC-H2,1992-01-11,Action / Side Scrolling
Pro Football,プロフットボール,イマジニア / エレクトロニック・アーツ / Imagineer / Electronic Arts,SHVC-FB,1992-01-17,Sports / Football
Dragon Ball Z - Super Saiya Densetsu,ドラゴンボールZ スーパー超サイヤ伝説,バンダイ / Bandai,SHVC-DB,1992-01-25,RPG
Romancing Sa-Ga,ロマンシング サ·ガ,スクウェア / Square,SHVC-RS,1992-01-28,RPG / Turn Based
Soul Blader,ソウルブレイダー,エニックス / クインテット / Enix / Quintet,SHVC-SO,1992-01-31,Action / RPG
Dragon Slayer - Eiyuu Densetsu,ドラゴンスレイヤー英雄伝説,エポック社 / 日本ファルコム / Epoch / Falcom,SHVC-DS,1992-02-14,RPG
Exhaust Heat,エキゾースト・ヒート,セタ / Seta,SHVC-EH,1992-02-21,Sports / Formula Racing (競馬)
Contra Spirits,魂斗羅スピリッツ（コントラ）,コナミ / コナミ エンタテイメント / Konami / Konami Entertainment,SHVC-CS,1992-02-28,Action / Side Scrolling
The Adventures of the Rocketeer,ロケッティア,アイ・ジー・エス / IGS (Information Global Service) / Novalogic,SHVC-RK,1992-02-28,Sports / Racing (競馬)
Super Birdie Rush,スーパーバーディラッシュ,データイースト / Data East (DECO),SHVC-BH,1992-03-06,Sports / Golf
Otogirisou,弟切草,チュンソフト / Chun Soft,SHVC-OT,1992-03-07,Sound Novel
Radical Psycho Machine Racing,R.P.M.レーシング,ビクター音楽産業 / Victor Musical Industries / Interplay,SHVC-V3,1992-03-19,Sports / Racing (競馬)
Super Inindou - Datou Nobunaga,スーパー伊忍道 打倒信長,光栄 / Koei,SHVC-IN,1992-03-19,Strategy
Shinseiki GPX Cyber Formula,新世紀GPXサイバーフォーミュラ,タカラ / Takara,SHVC-CF,1992-03-19,Sports / Formula Racing (競馬)
Choukou Goukami Xardion,超攻合神 サーディオン,アスミック / Asmik,SHVC-XA / SNS-XA,1992-03-20 / 1992-01-01,Shooter
Final Fight Guy,ファイナルファイト ガイ,カプコン / Capcom,SHVC-FY / SNS-FY,1992-03-20 / 1992-01-01,Action / Beat 'em Up
Super Famista,スーパーファミスタ,ナムコ / Namcot,SHVC-FA,1992-03-27,Sports / Baseball
Hat Trick Hero,ハットトリックヒーロー,タイトー / Taito,SHVC-HT,1992-03-27,Sports / Soccer
The Great Battle II - Last Fighter Twin,ザ・グレイトバトルII ラストファイター ツイン,バンプレスト / Banpresto,SHVC-3L,1992-03-27,Action
Rushing Beat,ラッシング・ビート,ジャレコ / Jaleco,SHVC-RB,1992-03-27,Action / Beat 'em Up
Smash T.V.,スマッシュT.V.,アスキー / アクレイム / ASCII / Beam Software / Acclaim,SHVC-TV,1992-03-27,Shooter / 360
Strike Gunner S.T.G,エス・ティー・ジー,アテナ / Athena,SHVC-SG,1992-03-27,Shooter / Vertical
Card Master - Rimusaria no Fuuin,カードマスター リムサリアの封印,ハル研究所（HALKEN） / HAL Laboratory,SHVC-RF,1992-03-27,RPG
Top Racer,トップレーサー,ケムコ（コトブキシステム） / Kemco / Gremlin Graphics,SHVC-TR,1992-03-27,Sports / Street Racing (競馬)
Super Metroid,スーパーメトロイド,任天堂 / インテリジェントシステムズ / Nintendo / Intelligent Systems,SHVC-RI,1994-03-19,Action / Side Scrolling
Mother 2 - Gyiyg no Gyakushuu,マザー2 ギーグの逆襲,"任天堂 / エイプ, ハル研究所 / Nintendo / APE Studios, HAL Laboratory",SHVC-MB / SNS-MB-USA,1994-08-27 / 1995-06-01,RPG / Turn Based
Chrono Trigger,クロノ・トリガー,スクウェア / Square,SHVC-ACTJ-JPN / SNS-ACTE-USA,1995-03-11 / 1995-09-27,RPG
Seiken Densetsu 3,聖剣伝説3,スクウェア / Square,SHVC-A3DJ-JPN,1995-09-30,RPG
Tales of Phantasia,テイルズ オブ ファンタジア,ナムコ / ウルフチーム / Namco / Wolf Team,SHVC-ATVJ-JPN,1995-12-15,RPG / Side Action
Axelay,アクスレイ,コナミ / コナミ エンタテイメント / Konami / Konami Entertainment,SHVC-AX / SNS-AX,1992-09-11 / 1992-09-01,Shooter / Vertical
Live A Live,ライブ・ア・ライブ,スクウェア / Square,SHVC-5V,1994-09-02,RPG
Final Fantasy 5,ファイナルファンタジーV,スクウェア / Square,SHVC-F5,1992-12-06,RPG / Turn Based
Super Mario RPG - Legend of the Seven Stars,スーパーマリオRPG,任天堂 / スクウェア / Nintendo / Square,SHVC-ARWJ-JPN / SNS-ARWE-USA,1996-03-09 / 1996-05-13,RPG
Bishoujo Senshi Sailor Moon,美少女戦士セーラームーン,エンジェル / Angel,SHVC-AE,1993-08-27,Action / Beat 'em Up
Breath of Fire 2 - Shimei no Ko,ブレス オブ ファイアII —使命の子—,カプコン / Capcom,SHVC-AF2J-JPN / SNS-AF2E-USA,1994-12-02 / 1995-12-01,RPG / Turn Based
Bokujou Monogatari,牧場物語,パック・イン・ビデオ / アムカス / Pack-in-Video / Amccus,SHVC-AYWJ-JPN / SNS-AYWE-USA,1996-08-09,RPG / Simulation
Sutte Hakkun,すってはっくん,任天堂 / インディーズゼロ / Nintendo / indieszero,SHVC-BSHJ-JPN,1998-08-01,Puzzle
Top Racer 2,トップレーサー2,ケムコ（コトブキシステム） / Kemco / Gremlin Graphics,SHVC-2P,1993-12-22,Sports / Street Racing (競馬)
World Heroes,ワールドヒーローズ,"サンソフト（サン電子） / エス・エヌ・ケイ, エー・ディー・ケイ / Sunsoft (Sun Electronics) / SNK, ADK",SHVC-WZ / SNS-WZ,1993-08-12 / 1993-01-01,Fighting / Hand To Hand
R-Type 3 - The Third Lightning,アールタイプ3 ザ・サードライトニング,アイレム / IREM,SHVC-ER / SNS-ER,1993-12-10,Shooter / Horizontal
Battle Grand Prix,バトルグランプリ,ナグザット / Naxat Soft,SHVC-BG / SNS-BG,1992-03-27 / 1993-04-01,Sports / Racing (競馬)
Ranma 1/2 - Chounai Gekitou Hen,らんま1/2 町内激闘篇,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-RA,1992-03-27,Fighting / Hand To Hand
Super Valis - Akaki Tsuki no Otome,スーパーヴァリス 赤き月の乙女,レーザーソフト（日本テレネット） / Laser Soft (Telenet Japan),SHVC-VA,1992-03-27,Action / Beat 'em Up
Magical Taruruuto-kun - Magic Adventure,まじかる☆タルるートくん MAGIC ADVENTURE,バンダイ / Bandai,SHVC-TL,1992-03-28,Action / Side Scrolling
Ultima VI - Itsuwari no Yogensha,ウルティマVI 〜偽りの予言者〜,ポニーキャニオン / インフィニティー / オリジンシステムズ / Pony Canyon / Infinity / Origin Systems,SHVC-U6-(R98V5942),1992-04-03,RPG
Air Management - Oozora ni Kakeru,エアーマネジメント 大空に賭ける,光栄 / Koei,SHVC-AL,1992-04-05,Strategy / Management
Othello World,オセロワールド,ツクダオリジナル / ダイス / Tsukuda Original / Dice,SHVC-TO,1992-04-05,Table Game / Othello
New 3D Golf Simulation - Pebble Beach no Hatou,ペブルビーチの波濤,ティーアンドイーソフト / T&E Soft,SHVC-GB,1992-04-10,Sports / Golf
Gousou Jinrai Densetsu - Musya,豪槍神雷伝説 武者,データム・ポリスター / Datam Polystar,SHVC-MY,1992-04-21,Action / Beat 'em Up
Super Cup Soccer,スーパーカップサッカー,ジャレコ / Jaleco,SHVC-SU,1992-04-24,Sports / Soccer
Herakles no Eikou III - Kamigami no Chinmoku,ヘラクレスの栄光III 神々の沈黙,データイースト / Data East,SHVC-HE,1992-04-24,RPG / Turn Based
WWF Super WrestleMania,WWFスーパーレッスルマニア,アクレイムジャパン / Acclaim Japan,SHVC-WF / SNS-WF,1992-04-24 / 1992-01-01,Sports / Wrestling
Maka Maka,摩訶摩訶,シグマ / 相原製作所 / Sigma,SHVC-MM,1992-04-24,RPG
Super Aleste,スーパーアレスタ,東宝 / コンパイル / TOHO / Compile,SHVC-AT,1992-04-28,Shooter / Vertical
